iloc_county_fips,POPESTIMATE_2011,any_ai_2011,patents_2011,POPESTIMATE_2019,any_ai_2019,patents_2019,pop_chg,pop_chg_pct,ppk_2011,ppk_2019,aippk_2011,aippk_2019,cbsa,msa,csa,county,state,central/outlying,EMA_aipat_9yr_2011,EMA_pat_9yr_2011,EMA_aipat_9yr_2019,EMA_pat_9yr_2019,total_patents,total_ai_patents,total_domestic_mig,bach_pct_2011,Individuals,burd_weight,med_home_val_2011,pct_chg_mhv,fmr_2011,fmr_2019,pct_chg_fmr,EMA_unemp_9yr_2011,SMA_unemp_9yr_2011,chg_SMA_unemp_9yr,chg_EMA_unemp_9yr,NatAmenScale,NatAmenRank,EMA_ppk_chg,EMA_aippk_chg,net_pop_chg_domestic_mig,dest_fips
01031,50444.0,0.0,2.0,52342.0,0.0,1.0,1898.0,0.0376258821663627,0.039647926413448574,0.019105116350158574,0.0,0.0,"Enterprise, AL",Micropolitan Statistical Area,,Coffee County,Alabama,Central,0.5869374049737992,0.06833201119359106,0.27428943733045696,0.04512018667817125,19,1.0,197.0,0.13896598207913727,8085.611111111111,0.023701588555400804,121800.0,0.028213166144200476,551.0,680.0,0.23411978221415608,6.4856184492729865,5.7444444444444445,0.055555555555556246,-1.4166358443946017,-0.66,3.0,-0.02321182451541981,-0.31264796764334224,0.003905320751724685,01031
01033,54539.0,0.0,3.0,55241.0,0.0,5.0,702.0,0.012871523130237077,0.05500650910357725,0.09051248167122246,0.0,0.0,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,,Colbert County,Alabama,Central,0.0,0.06381914206173028,0.0,0.08385103204521557,44,0.0,1212.0,0.12105099103393901,6951.916666666667,0.02566093111483829,97300.0,0.1573822825219475,598.0,675.0,0.12876254180602006,8.449026760062345,7.555555555555555,-0.3888888888888884,-2.1329513453724847,0.7,4.0,0.02003188998348529,0.0,0.02222262967784521,01033
01043,80410.0,0.0,7.0,83768.0,0.0,10.0,3358.0,0.04176097500310907,0.08705384902375327,0.11937732785789322,0.0,0.0,"Cullman, AL",Micropolitan Statistical Area,"Birmingham-Hoover-Talladega, AL",Cullman County,Alabama,Central,0.0,0.09091258744023215,0.25974329538660834,0.09539875617701704,69,2.0,3070.0,0.09634373834100236,9385.527777777777,0.02584197826737123,102300.0,0.1537960777931483,560.0,662.0,0.18214285714285713,7.212584283076088,6.211111111111112,-0.6222222222222236,-2.4490916874545627,0.64,4.0,0.004486168736784896,0.25974329538660834,0.03817933092898893,01043
01045,50122.0,0.0,2.0,,,,,,0.039902637564343,,0.0,,"Ozark, AL",Micropolitan Statistical Area,"Dothan-Ozark, AL",Dale County,Alabama,Central,0.1792464399362674,0.04567233127386721,,,12,0.0,-2769.0,0.11483979091017917,4724.722222222223,0.020752869984367876,96800.0,0.030720815225535606,536.0,629.0,0.17350746268656717,6.84662608441097,6.111111111111111,-0.03333333333333233,-1.5055677478483682,-0.47,3.0,,,-0.05524520170783289,01045
01049,71365.0,0.0,3.0,71513.0,1.0,11.0,148.0,0.002073845722693197,0.04203741329783507,0.15381818690308055,0.0,0.013983471536643687,"Fort Payne, AL",Micropolitan Statistical Area,"Scottsboro-Fort Payne, AL",DeKalb County,Alabama,Central,0.03670758996860253,0.047034788973622545,0.3709758246077066,0.07367561643000946,38,2.0,-585.0,0.06992223078539901,4733.083333333334,0.02561681138763673,87400.0,0.16486767410250272,536.0,646.0,0.20522388059701493,8.866628758631958,7.577777777777778,-1.022222222222223,-3.276259164330373,-1.6,3.0,0.026640827456386913,0.3342682346391041,-0.008197295593077839,01049
01051,79993.0,1.0,5.0,81209.0,0.0,10.0,1216.0,0.015201330116385183,0.0625054692285575,0.12313906094152126,0.0125010938457115,0.0,"Montgomery, AL",Metropolitan Statistical Area,"Montgomery-Selma-Alexander City, AL",Elmore County,Alabama,Central,0.4392190621546831,0.07392322532765573,0.1534565387909053,0.08441439396658414,65,3.0,-298.0,0.1394872051304489,12791.972222222223,0.02439145327663636,143200.0,0.09019201657238461,735.0,825.0,0.12244897959183673,6.586652780175371,5.7555555555555555,-0.511111111111112,-2.0288657010422533,2.11,4.0,0.010491168638928405,-0.28576252336377783,-0.003725325966022027,01051
01053,38204.0,0.0,2.0,36633.0,0.0,2.0,-1571.0,-0.041121348549890066,0.05235053921055387,0.054595583217317716,0.0,0.0,"Atmore, AL",Micropolitan Statistical Area,"Pensacola-Ferry Pass, FL-AL",Escambia County,Alabama,Central,0.0,0.08071901907461378,0.0,0.057198147784142464,11,0.0,-992.0,0.08035807768820019,3098.8611111111113,0.023295088466173224,84500.0,0.13692914580488572,536.0,628.0,0.17164179104477612,9.121472684727381,8.266666666666666,-1.166666666666666,-2.8690259916602807,-0.03,3.0,-0.023520871290471312,0.0,-0.02596586744843472,01053
01055,104369.0,1.0,5.0,102268.0,0.0,7.0,-2101.0,-0.020130498519675383,0.04790694554896569,0.06844760824500332,0.009581389109793139,0.0,"Gadsden, AL",Metropolitan Statistical Area,,Etowah County,Alabama,Central,0.35882262914483615,0.034058720751535695,0.21807997209946928,0.05248017013575344,51,4.0,-475.0,0.10455211796606272,9887.222222222223,0.0325088434095231,102000.0,0.10174627222709501,593.0,662.0,0.1163575042158516,8.058543754505369,7.088888888888889,-0.6888888888888882,-2.446112620789478,0.96,4.0,0.018421449384217747,-0.14074265704536687,-0.00455115982715174,01055
01059,31776.0,0.0,4.0,31362.0,0.0,3.0,-414.0,-0.013028700906344412,0.12588116817724068,0.09565716472163766,0.0,0.0,,,,,,,0.0,0.08625590516436585,0.0,0.06459258745193497,14,0.0,-662.0,0.07546576032225578,2187.027777777778,0.025878361156424466,81400.0,0.12994167206740098,536.0,628.0,0.17164179104477612,8.692125740866246,7.888888888888889,-1.511111111111112,-3.102504973348749,0.16,4.0,-0.02166331771243088,0.0,-0.020833333333333332,01059
01061,26756.0,0.0,1.0,,,,,,0.037374794438630586,,0.0,,"Dothan, AL",Metropolitan Statistical Area,"Dothan-Ozark, AL",Geneva County,Alabama,Outlying,0.0,0.0386084903281774,,,6,0.0,18.0,0.07082523546120496,2122.0,0.01943525866851275,82000.0,0.13443378689865407,552.0,682.0,0.23550724637681159,7.3111358054980595,6.288888888888889,-0.28888888888888875,-2.0773495773595485,-0.51,3.0,,,0.0006727462998953505,01061
